2375	2880
2328	959
583	2102
2727	4551
3449	4846
87	1717
2565	856
6736	4488
1075	7131
4128	1239
1166	2014
4616	4037
2658	1185
215	2378
266	665
986	1277
1701	3516
4662	3796
6907	7225
3439	4402
1207	1662
3063	7735
2003	2651
788	3946
3576	3970
122	3843
5680	5694
6156	6328
432	802
77	868
1247	3843
5802	3962
5079	5637
3498	4846
4197	3615
3642	7809
988	4401
2509	2340
2688	5563
988	6946
937	1240
14	152
1991	1521
3624	1744
2859	2014
1129	887
5262	6570
826	1723
1137	2328
215	1193
769	2210
59	2470
2542	1267
1424	1482
1111	3352
7057	5406
3560	3803
1013	1396
1814	2966
3462	4811
3457	2369
7405	5605
4437	5775
6523	4536
1137	2510
270	853
23	586
996	1608
26	379
173	3910
5543	6860
6924	7840
1305	3489
5839	5210
326	616
5199	5459
5697	7094
4536	4999
7080	7295
3796	5123
3642	6166
59	228
1608	3796
5022	4134
109	6296
21	871
7057	6417
4828	5623
319	637
29	674
2472	2120
2688	5509
5140	5188
5806	1026
600	3804
2334	2339
1319	204
996	2066
1133	3615
4297	4735
